orginal_time,latitude,longitude,depth,magnitude,location
2010-01-01 02:08:21 UTC,26.31,99.74,10.0,5.0[MB],"345km ESE of Changlang, Arunachal Pradesh, India"
2010-01-01 02:22:25 UTC,30.44,83.71,10.0,4.8[MB],"341km NNW of Kathmandu, Nepal"
2010-01-01 02:42:50 UTC,29.15,80.61,10.0,2.5[ML],"61km SE of Pithoragarh, Uttarakhand, India"
2010-01-01 17:42:03 UTC,1.4,67.75,10.0,4.7[MB],"710km WSW of Male, Maldives"
2010-01-02 02:15:07 UTC,38.29,71.0,38.0,5.4[MB],"138km NNE of Fayzabad, Afghanistan"
2010-01-02 03:12:09 UTC,38.11,70.51,15.0,4.5[ML],"112km N of Fayzabad, Afghanistan"
2010-01-03 17:47:00 UTC,35.4,70.36,33.0,4.3[ML],"140km NE of Kabul , Afghanistan"
2010-01-03 20:05:07 UTC,32.91,78.85,15.0,2.9[ML],"28km NNW of Hanley, Jammu & Kashmir, India"
2010-01-04 00:19:46 UTC,35.4,69.59,33.0,4.5[ML],"100km NNE of Kabul , Afghanistan"
2010-01-04 20:59:09 UTC,0.24,96.85,33.0,4.5[MB],"626km WSW of Kuala Lumpur, Malaysia"
2010-01-05 00:52:32 UTC,34.1,70.82,10.0,3.7[ML],"156km ESE of Kabul , Afghanistan"
2010-01-05 03:16:40 UTC,36.36,70.49,33.0,3.7[ML],"82km S of Fayzabad, Afghanistan"
2010-01-05 14:28:12 UTC,32.83,85.64,33.0,4.8[MB],"569km N of Kathmandu, Nepal"
2010-01-05 15:04:31 UTC,29.1,79.97,10.0,3.4[ML],"58km SSW of Pithoragarh, Uttarakhand, India"
2010-01-06 05:36:31 UTC,36.56,71.1,33.0,4.6[ML],"77km SE of Fayzabad, Afghanistan"
2010-01-06 06:59:59 UTC,37.2,71.53,33.0,4.1[ML],"87km E of Fayzabad, Afghanistan"
2010-01-07 22:19:51 UTC,33.98,79.1,15.0,3.2[ML],"141km E of Leh, Laddakh, India"
2010-01-08 13:23:45 UTC,38.66,74.39,122.0,4.5[MB],"379km ENE of Fayzabad, Afghanistan"
2010-01-09 00:15:53 UTC,26.96,75.45,10.0,2.3[ML],"33km W of Jaipur, Rajasthan, India"
2010-01-10 17:00:39 UTC,26.3,76.1,10.0,2.7[ML],"74km SSE of Jaipur, Rajasthan, India"
2010-01-11 03:38:42 UTC,14.28,93.11,33.0,4.0[ML],"113km N of Diglipur, Andaman and Nicobar island, India"
2010-01-11 05:15:18 UTC,29.82,80.36,10.0,4.1[ML],"29km NNE of Pithoragarh, Uttarakhand, India"
2010-01-11 06:11:08 UTC,33.51,75.44,19.0,3.7[ML],"57km SSE of Pahalgam, Jammu and Kashmir, India"
